Location,Date_Time,Temperature_C,Humidity_pct,Precipitation_mm,Wind_Speed_kmh,Month,Year
San Diego,14-01-2024 21:12,10.68300109,41.19575357,4.020118716,8.233540247,January,2024
San Diego,17-05-2024 15:22,8.734139782,58.3191074,9.111623448,27.71516126,May,2024
San Diego,11-05-2024 09:30,11.63243631,38.82017527,4.607511377,28.73295129,May,2024
Philadelphia,26-02-2024 17:32,-8.628975896,54.07447398,3.183719748,26.36730267,February,2024
San Antonio,29-04-2024 13:23,39.80821297,72.89990795,9.598282137,29.89862167,April,2024
San Diego,21-01-2024 08:54,27.34105487,49.02323607,9.166543303,27.47389608,January,2024
San Jose,13-01-2024 02:10,1.881883368,65.74232454,0.221709043,1.073111781,January,2024
New York,25-01-2024 19:04,-6.894765541,30.80489401,8.027623514,16.84833687,January,2024
New York,29-03-2024 05:20,0.963544894,38.81915764,3.640129169,7.989023972,March,2024
San Jose,18-05-2024 09:14,-1.607088038,82.19870131,4.101492972,25.64728207,May,2024
New York,04-03-2024 13:47,35.14555907,54.75286566,8.349194966,25.43031002,March,2024
Houston,07-03-2024 22:03,15.81676357,80.11990203,3.760004186,16.75213221,March,2024
Dallas,27-02-2024 21:07,32.01689761,53.19437064,3.552671054,3.050196386,February,2024
Houston,09-05-2024 00:53,38.64126926,85.95272556,0.470781843,20.77926401,May,2024
Houston,12-05-2024 15:57,39.66677192,72.74702581,1.263722159,6.479492097,May,2024
Philadelphia,09-03-2024 01:51,28.29011469,35.23916969,9.347204733,14.06676464,March,2024
San Antonio,10-02-2024 15:05,16.3497895,65.81260731,0.109090218,6.59703904,February,2024
Chicago,06-01-2024 02:59,26.78681109,31.51361442,0.496024001,22.9800953,January,2024
San Antonio,08-05-2024 16:20,35.17954764,35.083071,9.597294106,4.507862706,May,2024
San Diego,31-01-2024 05:38,14.60581923,66.64223518,1.515637132,29.4318902,January,2024
San Diego,25-01-2024 12:59,33.02335072,52.60748495,0.212142687,16.73332489,January,2024
New York,19-02-2024 12:26,-7.383810969,54.08997344,1.905730597,6.63706436,February,2024
San Antonio,14-02-2024 04:43,30.73968441,85.60377943,9.250558827,24.37595192,February,2024
San Jose,22-04-2024 03:13,34.53965433,57.79300985,3.583559549,13.04474502,April,2024
Houston,11-01-2024 02:53,-5.236300437,58.05429592,4.072880334,24.75405306,January,2024
San Jose,05-03-2024 21:38,-1.733200056,47.97320619,7.0663815,3.430740852,March,2024
San Diego,27-03-2024 10:44,24.31272429,57.86927949,9.693765837,23.9471878,March,2024
San Antonio,08-02-2024 20:45,3.017950836,49.86821775,6.906614157,6.212007745,February,2024
New York,04-01-2024 21:41,14.56832796,41.35017964,3.342764687,4.781285855,January,2024
Los Angeles,15-02-2024 20:47,-2.409511389,46.83400432,4.550642656,7.437357098,February,2024
New York,02-02-2024 02:17,-2.862063146,53.3951721,5.473386906,28.51943017,February,2024
Dallas,22-02-2024 14:16,12.86577948,44.7259115,4.809864949,5.567550045,February,2024
Chicago,16-04-2024 00:07,17.5878202,32.81792254,0.128803117,0.2341464,April,2024
Houston,29-02-2024 23:17,7.630376828,33.52361068,2.462747793,13.23269633,February,2024
Philadelphia,20-04-2024 09:34,0.351373257,88.01515668,1.795374482,21.66546592,April,2024
Dallas,22-03-2024 02:34,17.43949491,56.21016081,9.72897082,9.497026568,March,2024
Philadelphia,16-03-2024 23:47,23.40568084,78.9145056,7.767704375,3.675792063,March,2024
Phoenix,29-01-2024 07:08,1.512626785,89.41784602,5.210117251,7.332915455,January,2024
Chicago,01-04-2024 03:12,-2.562659564,30.35659269,2.624327941,2.601357173,April,2024
New York,21-04-2024 10:17,8.863085502,71.49254432,4.878106976,21.90418631,April,2024
Dallas,03-04-2024 22:07,6.514283596,42.00601481,1.40519717,18.38576664,April,2024
New York,19-02-2024 19:53,38.54553446,40.45083028,1.123494472,13.26201955,February,2024
Philadelphia,18-05-2024 02:32,-2.015243206,36.06219294,6.664136009,18.62346496,May,2024
San Diego,24-01-2024 12:04,-6.853765398,84.66678017,9.02769073,18.23363186,January,2024
San Diego,03-03-2024 11:02,35.6665646,74.06095593,1.328726429,24.16129534,March,2024
Chicago,03-04-2024 12:07,7.166149705,50.37727256,4.669552853,11.84116534,April,2024
Phoenix,24-03-2024 22:44,34.45364756,59.57697279,4.51432276,20.48715046,March,2024
Chicago,05-04-2024 13:22,38.38623326,74.04971234,6.792912658,3.292467222,April,2024
Philadelphia,26-03-2024 12:45,7.106603067,79.17732292,5.767120387,22.36447863,March,2024
San Jose,08-05-2024 20:16,35.09744038,40.22581975,6.088405819,20.01338013,May,2024
San Diego,10-02-2024 22:46,-5.855823754,52.26313782,7.113659332,2.263166802,February,2024
Phoenix,31-03-2024 18:02,4.644342013,44.42040499,1.97600954,19.34360602,March,2024
San Antonio,15-03-2024 00:09,25.81876556,56.58720205,2.810242012,17.78390392,March,2024
New York,27-03-2024 22:42,-0.071982121,57.84436962,6.44044913,20.61742322,March,2024
New York,19-02-2024 22:13,19.49970412,30.72690559,0.961290884,9.21448193,February,2024
Philadelphia,15-03-2024 01:56,23.03489275,61.83627506,5.984887195,23.05235781,March,2024
San Antonio,18-01-2024 02:56,28.56415279,34.87164279,6.136890967,22.28167694,January,2024
Chicago,25-01-2024 08:21,8.708564975,85.23464429,6.896760568,20.61685797,January,2024
San Jose,11-02-2024 04:20,39.68529996,36.12414499,4.860976002,26.39524547,February,2024
San Antonio,10-01-2024 14:19,38.47474943,46.04406684,8.355548511,5.170237503,January,2024
Dallas,06-05-2024 17:55,-5.378187061,84.47965426,7.589245088,28.50827264,May,2024
Houston,17-02-2024 19:00,36.97609044,34.396348,7.531080295,5.400062538,February,2024
Los Angeles,05-02-2024 12:16,30.72841714,64.88170105,2.074994496,29.12934827,February,2024
